,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
566,689225,Jonathan Clark,21490,UCLA,PAC-10,15.53,15.78,15.66,16.12,2011
579,656603,Zedric Thomas,21056,LSU,Southeastern (SEC),15.51,15.74,16.12,17.05,2011
583,665945,Asaph Levy,20900,Georgia,Southeastern (SEC),14.1,14.51,15.1,15.43,2011
584,665992,David Banks,21004,Kentucky,Southeastern (SEC),14.84,15.52,15.68,15.28,2011
590,606110,Zacharias Arnos,20666,Boise State,Western (WAC),15.66,15.93,15.65,16.24,2011
592,5740948,Jamie Ruginski,21062,Maine,America East,15.08,14.58,15.13,15.43,2015
595,271866,Alphonso Jordan,20903,Georgia Tech,Atlantic Coast (ACC),15.4,15.68,16.39,16.62,2010
604,628776,Zuheir Sharif,21453,Texas A&amp;M,Big 12,16.06,14.93,16.76,16.54,2010
626,722575,Reginald Cole,20680,Brown,Heps,15.07,14.36,15.18,15.58,2010
627,607907,Duane Teixeira,20784,Cornell,Heps,13.53,14.73,15.67,15.19,2010
641,654313,Travis Smith,20768,Colorado State,Mountain West (MWC),13.55,13.05,14.03,15.0,2010
652,689228,Steven Taylor,21490,UCLA,PAC-10,14.55,15.0,15.13,15.15,2010
657,802404,Ben Brown,21493,USC,PAC-10,13.83,14.47,14.85,14.02,2010
666,656591,Reggie Haslom,21056,LSU,Southeastern (SEC),15.04,15.13,15.55,14.75,2010
669,322468,Keyon Mitchell,21053,Loyola Marymount,West Coast (WCC),14.26,14.39,14.49,14.16,2010
694,663395,Rolando Felizola,20792,CS Northridge,Big West,13.98,15.01,15.59,15.73,2009
695,802263,Garrett Myers,20790,CS Fullerton,Big West,14.49,15.38,15.53,15.54,2009
710,676313,Ian Lindstrom,21560,Wichita State,Missouri Valley (MVC),13.83,14.16,15.04,15.06,2009
718,870169,Jason Smith,20768,Colorado State,Mountain West (MWC),14.49,14.52,14.43,14.78,2009
725,677627,Moreno Zapata,21526,Washington State,PAC-10,14.44,15.78,15.45,15.55,2009
764,692471,Daniel Marshall,20617,Arizona,PAC-10,14.42,15.69,15.79,15.69,2008
774,805560,Andrew Tran,21488,UC San Diego,West Coast (WCC),12.73,13.41,13.71,13.85,2011
